;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
227;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;30 a 34;107;87;194
228;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;35 a 39;103;71;174
229;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;40 a 44;85;64;149
230;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;45 a 49;108;68;176
231;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;50 a 54;100;84;184
232;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;55 a 59;100;55;155
233;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;60 a 64;74;79;153
234;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;65 a 69;77;59;136
235;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;70 a 74;52;48;100
236;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;75 a 79;44;26;70
237;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;80 a 84;20;16;36
238;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;85 a 89;12;16;28
239;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;90 a 94;6;6;12
240;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;95 a 99;1;3;4
241;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;100 o más;1;0;1
242;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;Total Comunal;6.550;2.746;9.296
243;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;0 a 4;196;199;395
244;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;5 a 9;223;191;414
245;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;10 a 14;183;171;354
246;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;15 a 19;178;155;333
247;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;20 a 24;291;175;466
248;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;25 a 29;740;285;1.025
249;TARAPACÁ;1;DEL TAMARUGAL;14;PICA;1405;30 a 34;902;228;1.130
